Rank,Name,Active,Visits,Favourites,Likes,Dislikes,Rating
#1,Blox Fruits,"609,660","40,127,518,742","13,356,130","8,332,792","653,335",92.73
#2,Brookhaven 🏡RP,"546,496","54,569,495,338","21,943,439","6,020,356","938,856",86.51
#3,Dress To Impress ✨ [UPDATE],"416,220","3,097,987,877","2,753,018","1,700,804","153,773",91.71
#4,[UPDATE 0.5] Anime Vanguards,"265,006","332,177,194","496,224","1,351,837","43,042",96.91
#5,The Strongest Battlegrounds,"200,776","8,156,574,581","3,989,102","2,787,763","533,160",83.95
#6,Murder Mystery 2,"188,474","17,792,195,803","19,123,155","7,865,862","770,850",91.07
#7,[🧬UPDATE] Anime Defenders,"132,030","2,697,936,387","667,306","1,900,798","56,833",97.1
#8,🎟️Dandy's World [ALPHA],"102,196","244,021,931","269,385","147,155","12,206",92.34
#9,[💥DRILL EVENT] Toilet Tower Defense,"93,756","4,903,263,056","1,065,079","1,088,995","157,600",87.36
#10,Berry Avenue 🏠 RP,"84,265","4,316,507,601","2,260,729","660,763","96,629",87.24
#11,Adopt Me! ,"83,542","37,451,239,007","26,948,113","7,283,004","1,436,060",83.53
#12,RIVALS,"79,033","837,023,293","10,283,388","2,271,776","95,527",95.96
#13,[TEN SHADOWS] Jujutsu Shenanigans,"73,172","814,407,259","872,361","678,287","120,794",84.88
#14,[FLOOR 2] DOORS 👁️,"72,220","5,531,925,327","6,592,162","3,808,596","281,031",93.13
#15,Pet Simulator 99! 🌍,"69,497","1,480,369,895","1,445,939","2,540,447","103,076",96.1
#16,Evade,"62,239","5,030,871,686","5,232,062","2,050,995","120,892",94.43
#17,Bee Swarm Simulator,"57,370","2,947,507,130","5,943,065","2,303,719","123,102",94.93
#18,[UPD] Blade Ball,"51,930","4,372,228,342","9,796,578","6,389,968","436,952",93.6
#19, Sol's RNG [Era 9],"49,379","733,893,439","622,210","721,515","97,971",88.04
#20,LifeTogether 🏠 RP (UPDATE 29),"46,533","1,018,943,385","2,829,053","389,255","30,652",92.7
#21,Five Nights TD [SEASON] ,"45,146","282,065,942","208,344","171,589","13,618",92.65
#22,BedWars [🪂 ROYALE],"43,221","9,637,211,099","4,192,819","2,169,590","458,754",82.55
#23,[MASTERED ULT] Heroes Battlegrounds,"42,138","531,613,851","772,938","457,257","89,005",83.71
#24,[UPDATE 4] Meme Sea,"40,701","349,604,310","262,682","268,684","19,429",93.26
#25,[CLUB✨] Baddies 💅,"40,637","333,133,499","5,220,139","85,414","31,950",72.78
#26,[MYTHICAL WOLF] Fruit Battlegrounds,"39,929","574,892,825","749,392","765,353","98,566",88.59
#27,Catalog Avatar Creator,"38,436","2,757,565,122","3,366,332","1,349,905","121,202",91.76
#28,Welcome to Bloxburg,"35,741","8,938,868,570","13,537,152","5,287,851","713,999",88.1
#29,🥳Flee the Facility🏰,"34,903","4,569,045,868","8,898,692","2,318,440","199,860",92.06
#30,📜 Creatures of Sonaria 💚 Survive Kaiju Animals,"33,551","940,104,597","3,277,507","661,730","71,131",90.29
#31,Deepwoken [1B+ VISITS SALE],"27,812","1,003,653,322","763,353","322,962","43,455",88.14
#32,[FREE TEST] Sorcery,"26,186","3,706,360","55,149","15,256","4,317",77.94
#33,Build A Boat For Treasure,"25,954","4,043,473,788","7,605,187","3,028,238","225,395",93.07
#34,Metro Life 🏙️ City RP,"25,049","955,927,778","22,158,147","167,659","24,675",87.17
#35, Piggy [BUILD MODE UPDATE],"24,798","13,059,601,742","11,653,785","3,600,396","404,069",89.91
#36,[2X] NFL Universe Football,"24,699","272,455,289","393,573","189,539","21,720",89.72
#37,Racehaven 🏡RP 💎 FREE VIP,"24,680","9,507,937","669,525","2,942",778,79.09
#38,[MAJOR⚡UPDATE] Slap Battles👏,"24,045","2,319,670,254","2,173,386","1,412,939","239,722",85.49
#39,[x4 + Limited Extend] Anime Last Stand,"24,019","440,270,040","261,372","298,934","22,938",92.87
#40,Fling Things and People,"23,744","1,106,447,765","1,614,794","507,979","149,632",77.25
#41,[UPGRADE] BARRY'S PRISON RUN! (OBBY),"22,559","2,711,839,024","1,176,200","273,220","196,104",58.22
#42,3008 [2.73],"20,606","2,317,236,231","4,796,467","1,634,197","150,935",91.54
#43,[SOUL MANIPULATOR] Sorcerer Battlegrounds,"20,257","351,022,145","572,757","330,845","82,462",80.05
#44,Gacha Online ✨ RP  [ 🔥 SLAY THE RUNWAY 🔥],"19,986","2,473,451,473","2,427,956","567,819","184,623",75.46
#45,[LIMITED] Driving Empire 🏎️ Car Racing,"19,666","1,542,903,946","12,598,877","1,537,677","110,243",93.31
#46,Gym League,"19,571","336,909,535","3,758,568","945,615","23,639",97.56
#47,Jailbreak 🍁,"19,454","7,080,771,693","18,250,939","5,517,995","767,119",87.79
#48,Livetopia🛒 Renovated Supermarket,"19,366","4,666,291,583","26,038,452","1,249,782","135,809",90.2
#49,Murderers VS Sheriffs Duels,"18,899","1,012,852,546","652,904","288,595","54,001",84.24
#50,[UPDATE 6] King Legacy,"18,469","3,122,377,276","2,267,756","1,323,223","134,612",90.77
#51,PLS DONATE 💸,"18,288","2,742,406,571","3,013,584","2,218,022","168,129",92.95
#52,[GHOST SHINOBI + DIO MOVES] Realm Rampage,"18,258","138,793,259","465,809","263,423","49,791",84.1
#53,[2X +⚡SUPER] Sonic Speed Simulator,"17,100","1,022,035,449","2,054,625","1,403,738","109,739",92.75
#54,[👯Friends Trainer]Gym Star Simulator,"16,402","25,469,409","38,217","32,209","2,153",93.73
#55,💀BOSS REWORK💀  Tower Defense Simulator,"16,162","3,562,780,169","3,071,617","1,575,047","103,031",93.86
#56,[EVOLUTIONS] Anime Card Battle,"15,958","52,008,798","60,307","66,368","5,257",92.66
#57,Shindo Life [238],"15,263","2,463,462,283","2,925,555","2,031,175","138,007",93.64
#58,Pressure,"14,985","158,025,426","977,674","398,066","21,662",94.84
#59,Death Ball,"14,927","768,260,104","1,029,101","2,069,713","74,420",96.53
#60,[F-18 Hornet] War Tycoon,"14,911","541,667,191","2,260,210","732,129","69,635",91.31
#61,[UPD] Death Row 💀,"14,789","13,993,293","53,539","52,965","14,176",78.89
#62,Football Fusion 2,"13,909","1,263,187,970","814,450","560,262","113,063",83.21
#63,DON'T GET ELIMINATED,"13,751","97,936,036","208,603","92,708","22,494",80.47
#64,EVENT🧟 Horse Life 🐎,"13,692","89,610,898","1,159,952","264,250","7,955",97.08
#65,a dusty trip [🐪NEW WORLD],"13,457","1,044,140,397","1,188,453","1,466,862","133,256",91.67
#66,Pillar Chase 2,"13,454","52,938,388","308,985","100,526","13,944",87.82
#67,NEW🌋 Dragon Adventures 🐉 Fantasy Pets ✨,"13,299","982,260,590","6,007,292","715,967","61,674",92.07
#68,[BOOST] untitled boxing game🥊,"13,241","633,484,875","767,180","704,443","114,748",85.99
#69,Secret Staycation,"12,799","358,085,838","488,176","141,189","23,482",85.74
#70,Rainbow Friends,"12,695","3,700,548,110","3,172,669","1,301,879","276,404",82.49
#71,Speed Draw!,"12,671","1,182,453,895","1,461,437","367,890","54,493",87.1
#72,Escape Running Head,"12,592","2,116,862,405","1,609,065","248,022","76,349",76.46
#73,🔪Survive the Killer!,"12,439","2,159,507,390","3,795,077","866,013","97,147",89.91
#74,Regretevator [ ELEVATOR SIMULATOR ],"12,160","103,228,396","569,634","212,512","20,583",91.17
#75,[UPD] Duck Army!,"11,836","11,511,990","39,744","78,473","2,224",97.24
#76,[GK🧤] Super League Soccer,"11,452","561,611,060","437,826","205,015","43,563",82.48
#77,Arm Wrestle Simulator,"11,345","1,007,662,744","884,951","1,143,154","57,387",95.22
#78,Elemental Powers Tycoon,"11,299","631,551,757","1,704,121","212,680","25,713",89.21
#79,Barbie DreamHouse Tycoon,"11,155","302,098,119","396,931","63,033","7,871",88.9
#80,[🕰️ Event] Skibidi Tower Defense,"11,096","509,974,398","1,804,321","401,208","28,844",93.29
#81,[🎂] item asylum ,"11,078","411,468,425","1,010,886","412,861","61,832",86.97
#82,Tower of Hell,"11,026","23,860,213,308","11,155,319","3,850,832","1,344,205",74.13
#83,🍕Work at a Pizza Place,"10,928","4,899,073,970","12,467,485","3,062,015","243,277",92.64
#84,Gunfight Arena | EVENT,"10,807","488,132,031","1,067,831","419,814","55,481",88.33
#85,Natural Disaster Survival,"10,716","3,124,229,076","10,577,915","3,708,897","379,105",90.73
#86,Spider,"10,697","2,411,474,174","2,558,207","523,255","199,294",72.42
#87,Royale🏰High [Update!],"10,647","9,976,830,879","13,213,399","3,163,534","484,772",86.71
#88,[1B🏆] Emergency Response: Liberty County,"10,538","1,003,415,250","2,472,841","950,595","92,028",91.17
#89,Color or Die 🎨,"10,265","652,011,578","1,106,448","1,171,534","117,376",90.89
#90,[BAI BAI] Vayhood hangout,"10,208","71,713,176","102,091","17,942","3,968",81.89
#91,[QUESTS! 🧙‍♂️] fight in a school,"9,921","97,514,857","220,748","101,586","27,543",78.67
#92,[24H X2 EVENT🎉] Devas Of Creation,"9,879","16,766,707","222,404","107,051","10,829",90.81
#93,🚗 LIMITED! Car Dealership Tycoon,"9,879","2,027,713,992","3,054,690","1,343,777","100,434",93.05
#94,Bathroom Line Simulator,"9,666","24,842,377","809,375","68,481","22,228",75.5
#95,[2X] 🏀Basketball Legends🏀,"9,540","330,046,838","342,508","226,762","49,041",82.22
#96,Eat the World,"9,462","235,205,787","13,989,131","568,091","33,013",94.51
#97,Bayside High School 🍎,"9,400","409,344,879","457,349","144,427","20,733",87.45
#98,[🐉 AWAKENED DRAGON TALON + 📈🚀x8] ONE FRUIT,"9,334","183,625,705","252,030","318,112","16,071",95.19
#99,untitled tag game [recode] ,"9,322","153,140,851","419,452","302,486","28,114",91.5
#100,Twilight Daycare ✨,"9,247","2,298,855,925","1,960,119","746,794","91,805",89.05
#101,Reborn As Swordsman,"9,042","39,727,923","1,000,527","136,154","4,448",96.84
#102,MAKE EVERYONE BALD TYCOON [HARDCORE 😤],"8,978","2,598,359","19,663","33,103",996,97.08
#103,😈 TRAITOR!,"8,960","8,339,933","537,775","5,118",908,84.93
#104,The Floor Is LAVA! 🔥,"8,785","2,558,122,487","3,292,294","695,621","229,449",75.2
#105,Combat Warriors,"8,665","1,150,339,195","2,207,356","1,245,591","230,627",84.38
#106,[UPDATE 1.58] Your Bizarre Adventure ,"8,622","1,958,462,118","1,857,935","1,329,501","160,187",89.25
#107,[👑MM2] Murderers Vs Sheriffs!,"8,620","12,930,093","535,415","2,024",796,71.77
#108,Arsenal,"8,466","5,574,573,484","11,160,634","4,894,952","620,606",88.75
#109,💪Muscle Legends,"8,390","1,820,370,849","2,340,527","890,145","130,144",87.24
#110,Untitled Fling Game [🔥Early Access],"8,248","28,293,149","46,992","14,088","4,269",76.74
#111,"(CARS, TRAILERS, WATERPARK + MORE!) Greenville","8,200","1,016,744,241","2,294,883","801,206","125,210",86.48
#112,Hide and Seek Extreme,"7,921","2,881,941,772","6,429,582","878,037","85,987",91.08
#113,Together [Party Game],"7,800","203,144,661","706,008","80,279","15,177",84.1
#114,[W46] Obby But You’re On a Bike,"7,782","1,377,584,391","5,534,672","764,098","233,071",76.63
#115,MIC UP 🔊,"7,776","452,132,503","623,959","295,549","57,572",83.7
#116,Restaurant Tycoon 2,"7,644","1,365,934,095","3,894,498","1,190,076","91,835",92.84
#117,[CHOSO & HOL HORSE] ABA,"7,643","946,917,968","928,154","447,927","99,515",81.82
#118,Theme Park Tycoon 2,"7,625","1,325,609,665","5,771,427","1,898,989","244,295",88.6
#119,[✨] MM2 Aim Trainer,"7,563","478,292,985","11,757,892","184,030","26,301",87.5
#120,Feather Family [Chickadee + Jay],"7,531","950,168,783","1,902,261","356,983","30,852",92.05
#121,Realistic Street Soccer (3 on 3),"7,487","326,686,849","204,330","111,420","25,169",81.57
#122,Ultimate Battlegrounds,"7,402","163,242,806","326,482","187,475","39,191",82.71
#123,Mega Mansion Tycoon 🌴,"7,386","1,079,141,963","1,541,520","749,400","40,844",94.83
#124,🎥My Movie,"7,196","171,060,151","427,542","159,907","14,539",91.67
#125,Southwest Florida Beta,"7,143","613,006,816","1,635,247","624,397","70,188",89.89
#126,[PAGANI] Vehicle Legends 🏎️ CARS!,"7,035","1,522,245,674","2,253,272","1,016,883","70,004",93.56
#127,🎓UNIVERSITY! 🎓 Club Roblox🏡,"7,009","2,582,075,930","3,265,881","867,398","86,127",90.97
#128,Death Penalty,"6,843","73,764,840","364,935","78,330","12,605",86.14
#129,🎈[HUGE]🎈American Plains Mudding,"6,841","138,202,268","202,667","70,436","14,189",83.23
#130,[🦇SUPER HERO EVENT]Triathlon Star Simulator,"6,839","2,305,504","4,336","1,527",164,90.3
#131,Break In (Story),"6,812","2,516,774,971","3,850,876","1,000,809","108,154",90.25
#132,Guts & Blackpowder,"6,716","144,601,757","557,062","217,810","13,227",94.27
#133,Spray Paint!,"6,650","1,110,569,465","1,893,914","452,268","93,093",82.93
#134,🔥[SAVIOR] Dragon Soul | Anime Adventure 🐲,"6,594","102,153,038","453,993","287,836","13,858",95.41
#135,Da Hood,"6,575","2,646,360,019","2,965,099","1,232,117","511,246",70.67
#136,😈 Mystery Killer,"6,523","2,966,341","330,535","1,228",490,71.48
#137,Break In 2 (Story),"6,412","596,353,144","607,139","247,460","38,730",86.47
#138,Underground War 2.0 ⚔️ [NUKE],"6,396","502,471,642","370,516","210,700","35,713",85.51
#139,Pet Story 🐶,"6,323","366,868,820","924,382","510,964","24,675",95.39
#140,Redcliff City 🏡RP,"6,316","819,456,867","793,699","174,614","25,373",87.31
#141,[W12] Skateboard Obby,"6,239","166,893,505","711,383","110,870","20,081",84.67
#142,Build with Friends,"6,212","1,219,659","70,171","2,280",134,94.45
#143,[NEW]Keys 🗝️ Season 19,"6,088","262,769,372","8,718,770","75,256","8,384",89.98
#144,Warrior Cats: Ultimate Edition,"6,038","530,942,762","1,201,630","386,196","29,221",92.97
#145,Boxing Beta! 🥊,"6,009","602,463,645","893,439","251,319","55,850",81.82
#146,🎲Character RNG,"6,006","32,751,650","62,946","62,863","5,648",91.76
#147,Highland Park 🏡RP [Apartments],"5,980","42,517,570","3,219,308","38,960","3,019",92.81
#148,Find Buttons!🔍,"5,971","9,231,300","143,149","18,519","1,095",94.42
#149,[⚾︎Baseball] Tongue Battles,"5,967","116,068,350","200,581","360,466","26,174",93.23
#150,Neighbors 🔊,"5,952","261,447,692","425,769","110,705","13,831",88.89
#151,[🧻EVENT]Skibidi Toilet Battle,"5,948","45,798,156","659,652","56,933","2,536",95.74
#152,[⭐PIKA V2] Grand Piece Online,"5,835","992,344,953","1,416,189","974,288","106,440",90.15
#153,Seaside RP🏡🌴 New Luxury house!! ,"5,827","195,344,334","6,855,286","33,645","3,661",90.19
#154,My Little Pony Tycoon,"5,823","4,237,839","36,561","5,280",439,92.32
#155,💜 MeepCity 💜,"5,807","16,080,310,257","14,786,479","2,854,966","482,449",85.54
#156,[UPDATE 1] Project: Afternight,"5,607","10,714,531","80,173","31,265","3,373",90.26
#157,Bike Ninja Obby [LEVEL 3],"5,599","13,970,412","5,655","1,619","1,717",48.53
#158,Peroxide,"5,551","284,299,126","555,446","349,026","34,629",90.97
#159,[ +18 Dances | GGUM] TOD,"5,508","136,109,600","212,362","66,565","6,402",91.23
#160,🍂 Maple Hospital,"5,489","1,145,548,565","1,014,909","305,688","56,398",84.42
#161,[FREE WEEKEND] 🧟 Aftermath 💥,"5,486","26,919,907","440,431","102,600","21,891",82.42
#162,Hide & Sneak,"5,335","234,084,439","266,699","56,580","19,135",74.73
#163,🚁[HELICOPTER] Tower Defense X: BETA,"5,334","207,139,372","261,444","274,285","12,038",95.8
#164,Arcane Odyssey [EMPIRES UPDATE],"5,249","105,548,974","776,009","326,342","26,188",92.57
#165,[2X] War Machines,"5,142","181,968,960","374,327","117,463","10,796",91.58
#166,Chained [2 Player Obby],"5,075","45,658,951","765,873","36,879","2,774",93
#167,[❗ UPDATE 1] Attack on Titan Revolution,"5,075","151,908,065","388,040","344,304","17,890",95.06
#168,South Bronx: The Trenches❗,"5,063","126,282,108","231,310","109,620","25,224",81.29
#169,Insane Elevator!,"5,030","1,122,282,804","1,273,669","202,050","33,592",85.74
#170,Grappler Swing,"5,007","37,820,591","95,025","31,370","18,911",62.39
#171,Really Easy Obby! 🌈,"4,967","206,285,451","72,438","8,605","4,792",64.23
#172,[CYBERPUNK] Project Smash,"4,936","144,612,220","302,554","143,640","43,548",76.74
#173,💪[5X] Strongman Simulator,"4,934","1,416,729,778","2,008,961","673,535","53,350",92.66
#174,Pull a Sword,"4,901","197,551,127","358,111","910,089","23,813",97.45
#175,Zombie Uprising,"4,897","1,030,287,710","3,184,072","911,852","46,983",95.1
#176,[B2 SPIRIT!] Military Tycoon ®,"4,875","747,954,121","1,723,768","1,157,948","99,502",92.09
#177,Death in the Box,"4,858","12,512,291","122,779","17,422","1,711",91.06
#178,Draw & Switch,"4,842","58,358,039","204,272","15,967","3,689",81.23
#179,Kitten Game 🐾,"4,823","250,242,386","359,254","116,029","10,471",91.72
#180,Tsunami Game,"4,807","167,692,007","483,217","103,967","26,908",79.44
#181,Pet Simulator X! 🐾,"4,786","8,807,180,231","5,998,405","4,131,301","387,202",91.43
#182,🐸Animal Simulator,"4,784","1,272,759,383","1,693,915","342,840","69,937",83.06
#183,💥 [HALLOWEEN UPD 10] Anime Strike Simulator,"4,780","3,406,210","16,736","64,042","1,370",97.91
#184,Bloxcity RP,"4,756","28,524,426","6,785",916,"1,075",46.01
#185,Broken Bones IV - Ragdoll Sim,"4,690","1,216,128,019","4,149,658","1,305,301","174,223",88.22
#186,Youtuber Tycoon! [ELEVATOR] ,"4,690","564,063,839","630,219","221,605","35,539",86.18
#187,[M60 REVAMP] Phantom Forces,"4,684","1,618,661,374","5,853,029","2,415,143","211,626",91.94
#188,Funky Friday,"4,649","1,831,181,439","4,035,587","1,879,316","198,717",90.44
#189,Collect All Pets!,"4,635","154,651,696","274,744","107,759","8,365",92.8
#190,Build A Bridge Simulator,"4,576","24,881,101","753,902","147,877","5,357",96.5
#191, Tha Bronx 2 💯,"4,543","68,870,549","145,928","52,883","17,054",75.62
#192, Sonic.EXE: The disaster [1.2 PUBLIC ALPHA],"4,539","31,227,701","53,984","26,761","3,495",88.45
#193,☄️Don't Press The Button 4,"4,518","1,001,208,647","1,135,549","521,248","87,078",85.69
#194,[GLOBAL 2x!] Skibi Defense,"4,484","260,523,179","737,891","140,812","10,068",93.33
#195,The Survival Game,"4,484","223,407,512","687,244","223,697","50,842",81.48
#196,Build to Survive 🛠️ [TESTING],"4,455","37,969,935","275,803","6,610","1,397",82.55
#197,Legends Battlegrounds,"4,448","32,016,582","93,199","50,044","12,200",80.4
#198,Infectious Smile,"4,424","959,923,409","1,930,996","524,078","141,953",78.69
#199,Find The Markers (237),"4,394","790,428,728","1,240,568","373,755","82,968",81.83
#200,[💪GEAR 5🗡️] A Universal Time 3.7 🏊‍♀️ ,"4,387","738,561,989","1,260,453","756,312","131,859",85.15
#201,EMOTIONS POLICE FAMILY PRISON RUN ESCAPE! (Obby),"4,362","16,382,711","133,643",358,482,42.62
#202,⚡Ninja Legends,"4,361","2,001,028,357","4,557,989","1,494,966","124,571",92.31
#203,[UPDATE + 4X] All Star Tower Defense,"4,348","7,505,834,982","2,321,710","1,428,414","128,625",91.74
#204,Color Block,"4,344","2,284,338,786","2,398,910","971,528","172,800",84.9
#205,[🔱 300] Be NPC or DIE!💢,"4,343","66,821,664","265,535","219,462","17,025",92.8
#206,Doodle Obby ✏️,"4,339","100,784,601","110,328","23,308","14,035",62.42
#207,[💎2X & SUMMER ] Titan Tower Defense,"4,311","50,102,837","240,622","61,565","3,592",94.49
#208,[FREE STEALTH] KJ ARENA,"4,290","29,908,236","69,088","75,722","10,658",87.66
#209,Taxi Boss 🚖,"4,253","338,910,011","806,804","378,211","25,294",93.73
#210,[NEW FRUIT]Anime Dungeon Fighters,"4,250","75,450,627","321,186","778,978","16,150",97.97
#211,⚡Race Clicker,"4,204","783,622,150","1,186,196","1,290,690","55,161",95.9
#212,Cheese Escape [Horror],"4,195","970,605,531","1,531,797","354,246","52,162",87.17
#213,Emergency Hamburg,"4,188","403,754,125","493,095","194,622","36,760",84.11
#214,Pixel Tower Defense,"4,156","3,299,197","49,150","18,852",770,96.08
#215,SkyWars 🔥,"4,150","202,642,971","183,651","96,270","33,285",74.31
#216,Escape The Carnival of Terror Obby! ,"4,132","841,642,785","629,711","94,513","77,668",54.89
#217,⚔️Dungeon RNG [UPD12] ,"4,115","25,635,042","548,602","280,649","6,199",97.84
#218,Flag Wars! 💥 [DOUBLE XP],"4,104","573,900,439","3,095,037","410,077","50,546",89.03
#219,NewSmith🏠RP New House!,"4,099","25,901,507","358,389","23,485","1,817",92.82
#220,Build to Survive!,"4,091","639,207,196","615,697","155,136","38,753",80.01
#221,Secret Killer,"4,088","54,414,526","159,534","93,746","7,930",92.2
#222,[New Map] Weapon Fighting Simulator,"4,049","494,511,031","839,924","527,708","36,315",93.56
#223,Bloxy Bingo,"4,020","295,131,890","963,384","242,807","47,171",83.73
#224,[1.5X💪+ WORLD 2] Anime Simulator,"3,986","15,086,995","75,097","69,901","2,669",96.32
#225,The Mimic,"3,966","971,826,681","2,883,698","974,131","106,634",90.13
#226,Car Suspension Test,"3,961","205,748,495","2,560,248","49,821","7,928",86.27
#227,🔥 BIG Paintball 2!,"3,948","149,266,945","315,357","232,384","49,195",82.53
#228,[Twinblade!] Mech Showdown (Alpha),"3,944","12,391,681","49,811","43,354","5,443",88.85
#229,Legends Of Speed ⚡,"3,898","1,752,060,298","3,617,375","1,011,991","96,385",91.3
#230,[LONDON] Miraculous™ RP: Ladybug & Cat Noir,"3,884","759,167,400","1,084,159","202,513","35,669",85.02
#231,Clip It 😂🎬👗,"3,875","91,644,632","172,618","48,568","15,208",76.15
#232,Off-Roading Epic,"3,848","113,746,889","2,257,334","85,065","9,035",90.4
#233,[2X] 🏈Football Legends🏈,"3,801","2,151,881","3,616","2,270",413,84.61
#234,Clone Simulator,"3,798","8,547,711","1,232,988","2,375",418,85.03
#235,(🎃SEASON 3) BAKE DA BABY,"3,793","122,896,936","3,155,128","139,281","17,004",89.12
#236,[UPD] Create a Cart Ride!,"3,763","526,261,658","386,474","397,643","63,731",86.19
#237,LOCOfficial!,"3,753","197,930,839","814,659","207,509","28,437",87.95
#238,[CRUCIFIX] DOORS TESTING 👁️,"3,725","6,783,382","12,308","7,639","1,547",83.16
